path_id,od_id,arc_id,value
107,37,238,1.0
107,37,443,1.0
107,37,419,1.0
107,37,395,1.0
107,37,385,1.0
107,37,171,1.0
107,37,166,1.0
108,37,241,1.0
108,37,238,1.0
108,37,275,1.0
108,37,272,1.0
108,37,288,1.0
108,37,119,1.0
108,37,124,1.0
108,37,171,1.0
108,37,166,1.0
109,37,83,1.0
109,37,86,1.0
109,37,238,1.0
109,37,443,1.0
109,37,419,1.0
109,37,395,1.0
109,37,385,1.0
109,37,171,1.0
109,37,166,1.0
110,37,241,1.0
110,37,238,1.0
110,37,458,1.0
110,37,460,1.0
110,37,397,1.0
110,37,385,1.0
110,37,171,1.0
110,37,166,1.0
111,38,241,1.0
111,38,238,1.0
111,38,443,1.0
111,38,419,1.0
111,38,395,1.0
111,38,385,1.0
111,38,171,1.0
111,38,168,1.0
112,38,241,1.0
112,38,238,1.0
112,38,275,1.0
112,38,272,1.0
112,38,288,1.0
112,38,119,1.0
112,38,124,1.0
112,38,171,1.0
112,38,168,1.0
113,38,83,1.0
113,38,86,1.0
113,38,238,1.0
113,38,443,1.0
113,38,419,1.0
113,38,395,1.0
113,38,385,1.0
113,38,171,1.0
113,38,168,1.0
114,38,241,1.0
114,38,238,1.0
114,38,458,1.0
114,38,460,1.0
114,38,397,1.0
114,38,385,1.0
114,38,171,1.0
114,38,168,1.0
115,39,159,1.0
115,39,156,1.0
115,39,251,1.0
116,39,83,1.0
116,39,88,1.0
116,39,156,1.0
116,39,251,1.0
117,39,159,1.0
117,39,156,1.0
117,39,1,1.0
117,39,2,1.0
120,42,145,1.0
121,42,453,1.0
121,42,141,1.0
122,42,413,1.0
122,42,143,1.0
123,43,145,1.0
124,43,453,1.0
124,43,141,1.0
125,43,413,1.0
125,43,143,1.0
126,44,453,1.0
127,44,413,1.0
127,44,410,1.0
128,44,145,1.0
128,44,140,1.0
129,45,221,1.0
130,45,413,1.0
130,45,217,1.0
131,45,453,1.0
131,45,219,1.0
132,46,221,1.0
133,46,413,1.0
133,46,217,1.0
134,46,453,1.0
134,46,219,1.0
135,47,427,1.0
136,47,145,1.0
136,47,148,1.0
136,47,33,1.0
136,47,36,1.0
136,47,53,1.0
136,47,46,1.0
136,47,395,1.0
136,47,385,1.0
136,47,171,1.0
136,47,164,1.0
136,47,13,1.0
136,47,10,1.0
136,47,429,1.0
137,47,145,1.0
137,47,148,1.0
137,47,300,1.0
137,47,389,1.0
137,47,53,1.0
137,47,46,1.0
137,47,395,1.0
137,47,385,1.0
137,47,171,1.0
137,47,164,1.0
137,47,13,1.0
137,47,10,1.0
137,47,429,1.0
138,48,453,1.0
138,48,359,1.0
139,48,145,1.0
139,48,146,1.0
140,48,413,1.0
140,48,361,1.0
141,49,453,1.0
141,49,359,1.0
142,49,145,1.0
142,49,146,1.0
143,49,413,1.0
143,49,361,1.0
144,50,427,1.0
144,50,430,1.0
145,50,427,1.0
145,50,185,1.0
145,50,186,1.0
146,50,427,1.0
146,50,428,1.0
146,50,446,1.0
147,51,427,1.0
147,51,430,1.0
148,51,427,1.0
148,51,185,1.0
148,51,186,1.0
149,51,427,1.0
149,51,428,1.0
149,51,446,1.0
150,52,221,1.0
150,52,222,1.0
151,52,413,1.0
151,52,297,1.0
152,52,453,1.0
152,52,295,1.0
153,53,145,1.0
153,53,148,1.0
153,53,300,1.0
154,53,145,1.0
154,53,150,1.0
154,53,407,1.0
155,53,453,1.0
155,53,303,1.0
155,53,300,1.0
156,54,145,1.0
156,54,148,1.0
156,54,300,1.0
157,54,145,1.0
157,54,150,1.0
157,54,407,1.0
158,54,453,1.0
158,54,303,1.0
158,54,300,1.0
159,55,427,1.0
159,55,434,1.0
160,55,427,1.0
160,55,185,1.0
160,55,190,1.0
161,55,427,1.0
161,55,428,1.0
161,55,448,1.0
162,56,427,1.0
162,56,434,1.0
163,56,427,1.0
163,56,185,1.0
163,56,190,1.0
164,56,427,1.0
164,56,428,1.0
164,56,448,1.0
165,57,427,1.0
165,57,428,1.0
166,57,427,1.0
166,57,185,1.0
166,57,188,1.0
167,57,427,1.0
167,57,430,1.0
167,57,447,1.0
168,58,427,1.0
168,58,428,1.0
169,58,427,1.0
169,58,185,1.0
169,58,188,1.0
170,58,427,1.0
170,58,430,1.0
170,58,447,1.0
171,59,453,1.0
171,59,359,1.0
171,59,362,1.0
172,59,145,1.0
172,59,146,1.0
172,59,362,1.0
173,59,413,1.0
173,59,361,1.0
173,59,362,1.0
176,62,59,1.0
177,62,83,1.0
177,62,61,1.0
178,62,241,1.0
178,62,57,1.0
179,63,159,1.0
180,63,83,1.0
180,63,88,1.0
181,63,380,1.0
181,63,155,1.0
182,64,159,1.0
183,64,83,1.0
183,64,88,1.0
184,64,380,1.0
184,64,155,1.0
185,65,241,1.0
185,65,238,1.0
185,65,215,1.0
186,65,83,1.0
186,65,86,1.0
186,65,238,1.0
186,65,215,1.0
187,65,241,1.0
187,65,238,1.0
187,65,311,1.0
187,65,207,1.0
188,66,241,1.0
188,66,238,1.0
188,66,311,1.0
189,66,83,1.0
189,66,86,1.0
189,66,238,1.0
189,66,311,1.0
190,66,241,1.0
190,66,238,1.0
190,66,215,1.0
190,66,206,1.0
191,67,241,1.0
191,67,238,1.0
191,67,215,1.0
191,67,210,1.0
192,67,159,1.0
192,67,152,1.0
192,67,409,1.0
192,67,389,1.0
192,67,373,1.0
193,67,83,1.0
193,67,86,1.0
193,67,238,1.0
193,67,215,1.0
193,67,210,1.0
194,67,241,1.0
194,67,238,1.0
194,67,311,1.0
194,67,207,1.0
194,67,210,1.0
195,68,159,1.0
195,68,152,1.0
195,68,409,1.0
196,68,380,1.0
196,68,382,1.0
196,68,409,1.0
197,68,83,1.0
197,68,84,1.0
197,68,382,1.0
197,68,409,1.0
198,69,159,1.0
198,69,152,1.0
198,69,409,1.0
199,69,380,1.0
199,69,382,1.0
199,69,409,1.0
200,69,83,1.0
200,69,84,1.0
200,69,382,1.0
200,69,409,1.0
201,70,241,1.0
201,70,238,1.0
201,70,311,1.0
201,70,203,1.0
202,70,241,1.0
202,70,238,1.0
202,70,215,1.0
